"","Nu"
"MATH354",32.3144387755102
"MATH235",30.6137910997732
"ECON131",49.2205342970522
"ECON132",59.7099603174603
"MATH242",50.8046485260771
"STAT230",70.7335260770975
"E&EB290",66.8109297052154
"CLSS402",49.0266170634921
"AMTH364",35.0262046485261
"PSYC454",55.0293424036281
"PHYS402",70.8180385487528
"ECON256",73.1243594104308
"G&G305L",51.4688577097506
"HIST099",49.3481009070295
"ECON473",53.5601927437642
"EVST348",44.5097392290249
"MCDB040",62.1769557823129
"MENG365",46.2692517006803
"MB&B452",55.4944742063492
"ENAS496",42.2687174036281
"BIOL102",48.957641723356
"E&EB272",75.2033333333333
"G&G207",48.824552154195
"MCDB415",55.156746031746
"LING322",48.7795011337869
"ASTR310",48.1433276643991
"MB&B302",81.6569444444444
"E&EB460",47.9302210884354
"MB&B050",43.3553032879819
"ENGL227",50.709246031746
"NAVY312",48.4637471655329
"MCDB201L",72.6750963718821
"MATH330",41.53722930839
"ASTR450",59.958066893424
"CHEM470",73.7337414965986
"CLCV420",39.3275070861678
"E&EB125",65.2464512471655
"NAVY212",59.6106689342404
"E&EB291L",48.276626984127
"CLCV409",61.1283163265306
"MCDB387",59.5063903061224
"PSYC321",43.1142417800454
"PSYC162",47.7283276643991
"HUMS438",47.1081916099773
"HIST345",42.3719614512472
"HIST373",35.3121201814059
"SKRT150",53.5930328798186
"EALL217",44.5437471655329
"EALL203",43.5504946145125
"WGSS032",56.2698015873016
"MATH370",44.6895195578231
"CENG120",67.6212414965986
"MENG211",43.4564073129252
"HSAR453",41.9092630385488
"WGSS206",48.3135615079365
"MCDB344L",55.6904365079365
"CHEM102",71.935
"CPSC478",42.0537868480726
"PSYC235",39.8671924603175
"CPSC223",47.81722930839
"APHY194",50.1482199546485
"CGSC426",34.8648058390023
"MUSI497",54.7378571428571
"BIOL103",48.9363846371882
"ECON275",60.5428911564626
"MCDB315",43.4634339569161
"EP&E334",35.638985260771
"PHYS205L",64.4841609977324
"HIST481",43.6426473922903
"HNDI198",72.3362244897959
"MUSI460",70.3415376984127
"NAVY100",68.8016326530612
"APHY322",24.5512243323255
"ARCG362",31.1572659989922
"PHYS430",26.9332766439909
"G&G456",31.4232936507937
"HIST271",37.8129223356009
"APHY449",38.9325510204082
"CHEM222L",61.2418253968254
"CHEM223L",57.166320861678
"CHEM335L",56.9401757369615
"CHEM251L",67.111746031746
"CHEM220",55.0098979591837
"INDN140",54.3669061791383
"MUSI324",47.2438860544218
"EENG203",44.1803018707483
"APHY450",73.4973526077098
"BENG356L",65.4741496598639
"MCDB291L",68.8705555555556
"NAVY112",48.9226927437642
"ART379",72.9809467120181
"ART142",48.8436578798186
"MB&B443",48.177619047619
"ARCH163",44.5129308390023
"EVST285",47.986887755102
"ECON121",68.3730215419501
"ASTR355",46.3919515306122
"CHEM252",68.1480385487528
"MATH305",60.9399829931973
"LING376",49.5340986394558
"ENGL300",51.4374829931973
"MUSI313",58.7402607709751
"APHY151",60.0364965986395
"ENAS360",48.5393707482993
"MATH231",47.3234353741497
"G&G323",48.7250921201814
"ECON330",41.0526077097506
"ENGL196",57.9154535147392
"ENGL467",50.390141723356
"ECON416",51.1927551020408
"ECON251",45.5576247165533
"MATH315",42.690341553288
"PHIL427",44.5372448979592
"MCDB103",51.5500113378685
"ARBC151",49.0854676870748
"KREN140",52.0504152494331
"CHNS151",50.6535983560091
"INDN160",47.1167120181406
"RUSS151",41.8552380952381
"SWAH160",54.9695790816327
"JAPN140",52.241826814059
"FREN389",45.614764739229
"HEBR127",44.024929138322
"EGYP137",46.2856306689342
"MUSI218",44.5454662698413
"CHEM165",47.3830017006803
"ARCG218",45.8694912131519
"ECON184",33.0976588876291
"ECON211",37.3795053854875
"CZEC301",62.8618594104308
"ARCG252",42.0920989229025
"HSAR142",39.4853429705215
"MUSI232",58.0475793650794
"ART457",46.6134948979592
"G&G220",47.8682950680272
"ARCH154",45.8873129251701
"MUSI440",53.4242290249433
"MENG383",47.6056306689342
"ECON472",38.9165391156463
"GLBL347",31.4250466112371
"BRST219",40.055164399093
"JDST235",38.1642276077098
"ECON116",48.8572689909297
"MUSI305",47.8827891156463
"MUSI314",50.1841609977324
"PLSC327",34.8140717120181
"BENG435",46.1120252267574
"ENGL456",51.5063222789116
"ECON410",38.936001984127
"ITAL151",47.8376162131519
"MUSI362",49.3071571869489
"MUSI462",49.3071571869489
"ASTR160",46.7363151927438
"ASTR210",48.3339965986395
"CPSC185",54.1047335600907
"CHEM136L",50.872641723356
"MB&B301",39.6730102040816
"CHEM175",40.1397548185941
"G&G212",39.1717871315193
"CHEM442",38.3451984126984
"CHEM430",43.381130952381
"ECON339",44.0539115646258
"EP&E230",42.2213605442177
"MUSI107",35.486945861678
"USAF102",36.1575552721088
"CHEM457",52.6590476190476
"HIST283",43.9974957482993
"DRST002",52.3706873582766
"GMAN415",42.1971669501134
"ITAL317",37.1995776643991
"ENGL216",39.1568594104308
"FREN414",44.2359240362812
"ENGL203",43.1111366213152
"ENGL358",40.4408531746032
"ENGL202",38.944033446712
"PHIL202",30.0521386054422
"PLSC224",32.4742729591837
"HUMS316",43.4990306122449
"EVST265",42.1161805555556
"HIST206",32.1742928004535
"PLSC382",46.1665320294785
"ENGL412",36.9386890589569
"ENGL270",37.3809679705215
"MUSI211",34.8302448664651
"MUSI219",34.8302448664651
"MUSI361",34.8302448664651
"MUSI363",34.8302448664651
"MUSI364",34.8302448664651
"MUSI461",34.8302448664651
"MUSI463",34.8302448664651
"MUSI464",34.8302448664651
